Concurso,Data Sorteio,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Arrecadacao_Total,Ganhadores_Sena,Cidade,UF,Rateio_Sena,Ganhadores_Quina,Rateio_Quina,Ganhadores_Quadra,Rateio_Quadra,Acumulado,Valor_Acumulado,Estimativa_Prêmio,Acumulado_Mega_da_Virada
44,05/01/1997,47,38,18,14,29,44,000,0,&nbsp,&nbsp,000,103,7.09932,7742,9445.0,SIM,2.642.63314,000,000
45,12/01/1997,30,7,37,55,44,53,000,0,&nbsp,&nbsp,000,33,27.20147,3004,29882.0,SIM,3.719.81146,000,000
46,19/01/1997,32,46,1,60,24,23,000,0,&nbsp,&nbsp,000,91,9.98242,6263,14504.0,SIM,4.809.89156,000,000
47,26/01/1997,35,17,3,48,25,56,000,0,&nbsp,&nbsp,000,210,4.45844,10873,8594.0,SIM,5.933.41851,000,000
48,02/02/1997,47,5,34,28,2,50,000,0,&nbsp,&nbsp,000,132,7.48295,7454,13225.0,SIM,7.118.71738,000,000
49,09/02/1997,33,7,43,35,13,55,000,1,,RJ,8.405.15676,155,6.916339999999999,9830,10885.0,NÃO,000,000,000
50,16/02/1997,57,44,21,16,58,6,000,0,&nbsp,&nbsp,000,31,25.24125,2800,27891.0,SIM,8.917.83039,000,000
51,23/02/1997,23,24,42,25,17,47,000,0,&nbsp,&nbsp,000,143,7.23147,9361,11025.0,SIM,10.158.74973,000,000
52,02/03/1997,58,15,59,30,38,46,000,0,&nbsp,&nbsp,000,77,15.544229999999999,6442,18543.0,SIM,11.595.03671,000,000
53,09/03/1997,42,13,3,46,38,16,000,0,&nbsp,&nbsp,000,210,6.33779,10941,12141.0,SIM,13.192.15946,000,000
54,16/03/1997,5,21,9,56,18,36,000,2,,BA,7.469.65399,207,7.03361,13067,11120.0,NÃO,000,000,000
54,16/03/1997,5,21,9,56,18,36,000,2,,SP,7.469.65399,207,7.03361,13067,11120.0,NÃO,000,000,000
55,23/03/1997,29,2,14,38,23,52,000,0,&nbsp,&nbsp,000,66,10.81763,3840,18556.0,SIM,856.75639,000,000
56,30/03/1997,51,35,59,7,20,2,000,0,&nbsp,&nbsp,000,48,12.1422,2599,22381.0,SIM,1.556.14746,000,000
57,06/04/1997,27,17,16,34,7,59,000,0,&nbsp,&nbsp,000,79,10.6991,6173,13665.0,SIM,2.570.42180,000,000
58,13/04/1997,30,49,27,37,12,44,000,1,,SP,3.631.30491,65,13.601070000000002,5040,17506.0,NÃO,000,000,000
59,20/04/1997,28,13,34,2,8,54,000,0,&nbsp,&nbsp,000,90,7.31234,5351,12275.0,SIM,789.73342,000,000
60,27/04/1997,38,14,21,15,3,20,000,0,&nbsp,&nbsp,000,129,7.11147,7914,11569.0,SIM,9.478.24926,000,000
61,04/05/1997,59,8,18,29,42,44,000,0,&nbsp,&nbsp,000,52,18.90294,3866,25376.0,SIM,10.657.79245,000,000
62,11/05/1997,52,13,6,24,8,31,000,0,&nbsp,&nbsp,000,119,9.9687,8613,13746.0,SIM,12.081.32345,000,000
63,18/05/1997,26,9,41,49,25,40,000,1,,MG,13.680.01957,82,16.24691,6359,20910.0,NÃO,000,000,000
64,25/05/1997,8,54,50,60,23,12,000,0,&nbsp,&nbsp,000,29,23.30996,2441,27638.0,SIM,811.18658,000,000
65,01/06/1997,20,1,5,32,25,34,000,0,&nbsp,&nbsp,000,61,11.54237,4932,14248.0,SIM,1.656.08809,000,000
66,08/06/1997,15,26,12,33,48,13,000,0,&nbsp,&nbsp,000,102,8.05425,7686,10668.0,SIM,2.641.92781,000,000
67,15/06/1997,47,14,27,52,17,12,000,0,&nbsp,&nbsp,000,83,10.61725,5479,16052.0,SIM,3.699.40644,000,000
68,22/06/1997,53,13,3,1,12,59,000,0,&nbsp,&nbsp,000,49,18.49673,4758,19011.0,SIM,4.787.01446,000,000
69,29/06/1997,56,58,34,53,25,45,000,0,&nbsp,&nbsp,000,55,17.27148,3661,25896.0,SIM,5.926.93193,000,000
70,06/07/1997,40,17,23,43,27,58,000,0,&nbsp,&nbsp,000,95,12.899519999999999,6071,20146.0,SIM,14.883.84929,000,000
71,13/07/1997,53,16,45,43,33,27,000,0,&nbsp,&nbsp,000,115,12.45174,7430,19235.0,SIM,16.602.18845,000,000
72,20/07/1997,19,48,43,1,34,44,000,0,&nbsp,&nbsp,000,85,19.67633,7982,20913.0,SIM,18.609.17426,000,000
